iter	Passed	Remaining
404	8471	12445
405	8494	12428
406	8517	12409
407	8535	12384
408	8560	12370
409	8584	12352
410	8607	12334
411	8630	12316
412	8653	12299
413	8677	12282
414	8700	12264
415	8722	12245
416	8745	12227
417	8772	12213
418	8803	12207
419	8826	12189
420	8849	12170
421	8871	12151
422	8894	12132
423	8916	12112
424	8938	12092
425	8960	12073
426	8983	12055
427	9007	12037
428	9030	12019
429	9050	11997
430	9073	11978
431	9097	11961
432	9120	11942
433	9143	11924
434	9166	11905
435	9187	11884
436	9210	11866
437	9235	11850
438	9258	11831
439	9280	11811
440	9292	11778
441	9312	11756
442	9332	11734
443	9352	11711
444	9374	11691
445	9396	11671
446	9417	11650
447	9441	11632
448	9453	11601
449	9475	11581
450	9496	11560
451	9517	11538
452	9540	11520
453	9563	11501
454	9586	11482
455	9609	11464
456	9634	11447
457	9661	11434
458	9686	11416
459	9708	11396
460	9738	11386
461	9760	11366
462	9783	11346
463	9804	11325
464	9827	11306
465	9850	11288
466	9877	11273
467	9899	11253
468	9920	11231
469	9939	11208
470	9959	11186
471	9979	11163
472	10000	11142
473	10020	11119
474	10041	11098
475	10063	11078
476	10088	11061
477	10110	11040
478	10132	11021
479	10154	11000
480	10175	10979
481	10197	10959
482	10225	10945
483	10253	10931
484	10278	10913
485	10302	10896
486	10326	10877
487	10350	10859
488	10373	10840
489	10395	10819
490	10417	10799
491	10441	10781
492	10464	10762
493	10487	10742
494	10553	10766
495	10586	10756
496	10609	10737
497	10632	10717
498	10657	10700
499	10681	10681
500	10705	10662
501	10729	10643
502	10750	10622
503	10770	10599
504	10791	10577
505	10812	10555
506	10835	10536
507	10859	10517
508	10885	10500
509	10910	10483
510	10953	10481
511	10977	10462
512	10997	10440
513	11018	10418
514	11039	10396
515	11062	10376
516	11085	10356
517	11111	10339
518	11134	10319
519	11155	10297
520	11176	10275
521	11200	10256
522	11230	10242
523	11251	10220
524	11274	10200
525	11299	10182
526	11321	10161
527	11346	10143
528	11371	10124
529	11397	10107
530	11424	10090
531	11448	10071
532	11470	10050
533	11492	10029
534	11517	10010
535	11541	9991
536	11565	9971
537	11590	9952
538	11613	9933
539	11639	9914
540	11663	9895
541	11685	9874
542	11707	9853
543	11726	9829
544	11746	9806
545	11768	9785
546	11790	9764
547	11813	9744
548	11839	9726
549	11861	9705
550	11882	9682
551	11904	9661
552	11924	9638
553	11946	9617
554	11971	9598
555	11999	9582
556	12026	9565
557	12054	9548
558	12081	9531
559	12107	9513
560	12131	9493
561	12155	9473
562	12177	9452
563	12201	9432
564	12225	9412
565	12249	9392
566	12275	9374
567	12297	9353
568	12319	9331
569	12341	9309
570	12364	9289
571	12388	9269
572	12413	9250
573	12437	9230
574	12460	9210
575	12491	9195
576	12515	9175
577	12536	9153
578	12557	9130
579	12577	9107
580	12599	9086
581	12623	9066
582	12649	9048
583	12672	9026
584	12695	9006
585	12720	8986
586	12742	8964
587	12765	8944
588	12785	8921
589	12807	8899
590	12828	8878
591	12849	8855
592	12873	8835
593	12898	8816
594	12920	8794
595	12942	8772
596	12965	8752
597	12987	8730
598	13012	8711
599	13033	8689
600	13055	8667
601	13113	8669
602	13149	8656
603	13171	8635
604	13193	8613
605	13214	8591
606	13235	8569
607	13256	8546
608	13278	8525
609	13301	8504
610	13324	8483
611	13347	8462
612	13381	8448
613	13406	8428
614	13429	8407
615	13450	8384
616	13468	8360
617	13490	8338
618	13513	8317
619	13535	8296
620	13560	8276
621	13584	8255
622	13607	8234
623	13630	8213
624	13653	8192
625	13675	8170
626	13694	8147
627	13716	8125
628	13737	8102
629	13759	8080
630	13783	8060
631	13808	8040
632	13829	8017
633	13850	7995
634	13870	7973
635	13891	7950
636	13913	7928
637	13935	7907
638	13957	7885
639	13976	7862
640	13998	7839
641	14025	7820
642	14048	7799
643	14072	7779
644	14093	7756
645	14114	7734
646	14137	7713
647	14157	7690
648	14177	7667
649	14199	7645
650	14220	7623
651	14242	7602
652	14270	7583
653	14293	7561
654	14314	7539
655	14336	7517
656	14359	7496
657	14383	7476
658	14405	7454
659	14428	7432
660	14451	7411
661	14473	7389
662	14499	7369
663	14524	7349
664	14546	7327
665	14568	7306
666	14590	7284
667	14614	7263
668	14637	7242
669	14659	7220
670	14683	7199
671	14706	7178
672	14728	7156
673	14749	7134
674	14773	7112
675	14795	7091
676	14820	7070
677	14841	7048
678	14862	7026
679	14886	7005
680	14911	6984
681	14937	6964
682	14959	6943
683	14982	6921
684	15006	6900
685	15031	6880
686	15053	6858
687	15076	6837
688	15100	6816
689	15126	6796
690	15151	6775
691	15174	6754
692	15197	6732
693	15218	6710
694	15240	6688
695	15264	6667
696	15286	6645
697	15308	6623
698	15333	6602
699	15356	6581
700	15378	6559
701	15400	6537
702	15423	6515
703	15446	6494
704	15468	6472
705	15489	6450
706	15512	6428
707	15537	6408
708	15564	6388
709	15587	6366
710	15614	6346
711	15638	6325
712	15661	6303
713	15683	6282
714	15706	6260
715	15729	6239
716	15752	6217
717	15818	6212
718	15853	6195
719	15876	6174
720	15897	6151
721	15922	6130
722	15944	6108
723	15968	6087
724	15992	6066
725	16018	6045
726	16042	6024
727	16065	6002
728	16087	5980
729	16111	5959
730	16134	5937
731	16157	5915
732	16179	5893
733	16206	5873
734	16231	5852
735	16253	5830
736	16277	5808
737	16301	5787
738	16323	5765
739	16345	5743
740	16367	5721
741	16389	5698
742	16414	5677
743	16437	5656
744	16459	5633
745	16483	5612
746	16506	5590
747	16530	5569
748	16552	5547
749	16574	5524
750	16598	5503
751	16623	5482
752	16648	5461
753	16675	5440
754	16700	5419
755	16722	5397
756	16745	5375
757	16767	5353
758	16790	5331
759	16812	5309
760	16834	5287
761	16857	5265
762	16880	5243
763	16906	5222
764	16929	5200
765	16952	5178
766	16974	5156
767	16995	5134
768	17017	5111
769	17037	5089
770	17060	5067
771	17084	5045
772	17110	5024
773	17137	5003
774	17160	4982
775	17185	4960
776	17207	4938
777	17229	4916
778	17252	4894
779	17274	4872
780	17297	4850
781	17323	4829
782	17347	4807
783	17369	4785
784	17391	4763
785	17414	4741
786	17437	4719
787	17460	4697
788	17482	4675
789	17505	4653
790	17529	4631
791	17556	4610
792	17580	4589
793	17603	4567
794	17627	4545
795	17650	4523
796	17672	4501
797	17695	4479
798	17718	4457
799	17740	4435
800	17765	4413
801	17788	4391
802	17812	4369
803	17834	4347
804	17855	4325
805	17876	4302
806	17898	4280
807	17921	4258
808	17945	4236
809	17970	4215
810	18032	4202
811	18065	4182
812	18089	4160
813	18112	4138
814	18134	4116
815	18156	4094
816	18179	4071
817	18206	4050
818	18232	4029
819	18254	4007
820	18278	3985
821	18302	3963
822	18325	3941
823	18348	3919
824	18372	3897
825	18397	3875
826	18424	3854
827	18447	3831
828	18469	3809
829	18491	3787
830	18513	3765
831	18537	3743
832	18560	3720
833	18583	3698
834	18609	3677
835	18637	3656
836	18661	3634
837	18687	3612
838	18709	3590
839	18732	3568
840	18756	3546
841	18779	3523
842	18804	3502
843	18828	3480
844	18856	3458
845	18879	3436
846	18903	3414
847	18928	3392
848	18954	3371
849	18979	3349
850	19002	3327
851	19023	3304
852	19046	3282
853	19072	3260
854	19100	3239
855	19122	3216
856	19146	3194
857	19169	3172
858	19194	3150
859	19218	3128
860	19241	3106
861	19266	3084
862	19296	3063
863	19320	3041
864	19342	3018
865	19363	2996
866	19386	2973
867	19409	2951
868	19432	2929
869	19456	2907
870	19479	2885
871	19505	2863
872	19530	2841
873	19553	2818
874	19577	2796
875	19601	2774
876	19625	2752
877	19647	2730
878	19670	2707
879	19696	2685
880	19721	2663
881	19745	2641
882	19767	2619
883	19790	2596
884	19813	2574
885	19835	2552
886	19858	2529
887	19881	2507
888	19905	2485
889	19967	2467
890	20001	2446
891	20025	2424
892	20050	2402
893	20073	2380
894	20097	2357
895	20119	2335
896	20145	2313
897	20171	2291
898	20196	2269
899	20219	2246
900	20241	2224
901	20265	2201
902	20289	2179
903	20312	2157
904	20335	2134
905	20362	2112
906	20388	2090
907	20412	2068
908	20434	2045
909	20458	2023
910	20481	2000
911	20507	1978
912	20531	1956
913	20557	1934
914	20586	1912
915	20615	1890
916	20637	1867
917	20659	1845
918	20683	1822
919	20707	1800
920	20731	1778
921	20755	1755
922	20782	1733
923	20814	1712
924	20842	1689
925	20872	1667
926	20899	1645
927	20925	1623
928	20954	1601
929	20985	1579
930	21017	1557
931	21048	1535
932	21080	1513
933	21109	1491
934	21133	1469
935	21155	1446
936	21177	1423
937	21202	1401
938	21227	1378
939	21251	1356
940	21275	1333
941	21299	1311
942	21322	1288
943	21344	1266
944	21368	1243
945	21391	1221
946	21416	1198
947	21441	1176
948	21469	1153
949	21493	1131
950	21515	1108
951	21539	1086
952	21563	1063
953	21588	1040
954	21611	1018
955	21636	995
956	21663	973
957	21688	950
958	21712	928
959	21736	905
960	21763	883
961	21794	860
962	21823	838
963	21856	816
964	21945	795
965	21982	773
966	22008	751
967	22033	728
968	22060	705
969	22085	683
970	22111	660
971	22138	637
972	22162	614
973	22187	592
974	22210	569
975	22237	546
976	22262	524
977	22288	501
978	22317	478
979	22348	456
980	22376	433
981	22403	410
982	22430	387
983	22456	365
984	22480	342
985	22505	319
986	22528	296
987	22555	273
988	22583	251
989	22611	228
990	22634	205
991	22659	182
992	22685	159
993	22710	137
994	22738	114
995	22765	91
996	22794	68
997	22818	45
998	22840	22
999	22865	0
