iter	Logloss
0	0.6792900944
1	0.6650792876
2	0.6526913744
3	0.6402692383
4	0.6297500574
5	0.6187599129
6	0.6086344966
7	0.5994462023
8	0.5901158596
9	0.5815636175
10	0.5734006065
11	0.565673626
12	0.5594071262
13	0.5523594203
14	0.5470339445
15	0.5411266702
16	0.5351476869
17	0.5303456778
18	0.5247482485
19	0.5203040077
20	0.5154758467
21	0.5109965575
22	0.5070093518
23	0.5039090552
24	0.4995437865
25	0.4958551168
26	0.4926443574
27	0.4891531117
28	0.485829272
29	0.4825881069
30	0.4796861426
31	0.4770186267
32	0.4740412882
33	0.4712555442
34	0.4694469622
35	0.4668633938
36	0.4649311996
37	0.4626549018
38	0.4600738373
39	0.4582966275
40	0.4560517416
41	0.4539707868
42	0.4520258609
43	0.4500891039
44	0.4483411601
45	0.4468041451
46	0.4457371222
47	0.4440036932
48	0.4423687271
49	0.4408540956
50	0.4396182701
51	0.4386565187
52	0.4374496737
53	0.4361883883
54	0.4348063591
55	0.4334532806
56	0.4323080558
57	0.4314406513
58	0.4305487339
59	0.4292590041
60	0.4282777188
61	0.427336286
62	0.4266970448
63	0.4261404387
64	0.4251206584
65	0.4243383209
66	0.4233539144
67	0.422430081
68	0.4217316094
69	0.4214236339
70	0.4208796777
71	0.4201714987
72	0.4193862096
73	0.4187431751
74	0.4180685736
75	0.4174176237
76	0.4166301239
77	0.4160988099
78	0.415437149
79	0.4149956677
80	0.4144199204
81	0.4138209384
82	0.4131130609
83	0.4126320695
84	0.4121713708
85	0.4120076326
86	0.4116106895
87	0.4113971946
88	0.4110405323
89	0.4106211219
90	0.4102007864
91	0.4096473972
92	0.4094652132
93	0.4089319211
94	0.4085209507
95	0.4081008643
96	0.4078971685
97	0.4076274142
98	0.4072310462
99	0.4068465253
100	0.4065503519
101	0.406246543
102	0.4059586637
103	0.4055761998
104	0.4052012381
105	0.405093322
106	0.4049188446
107	0.4046836623
108	0.4043176656
109	0.4040524533
110	0.4037424235
111	0.403499178
112	0.4033585619
113	0.4030020447
114	0.4027283493
115	0.4024741489
116	0.4022148697
117	0.4017601805
118	0.4014414526
119	0.4012359387
120	0.4009554042
121	0.4006761814
122	0.4004286849
123	0.4001388994
124	0.3998090397
125	0.3995412732
126	0.3993846262
127	0.3990876738
128	0.3989282456
129	0.3988011588
130	0.3985385091
131	0.3983922216
132	0.3981788817
133	0.3980063981
134	0.3977141456
135	0.3974626181
136	0.3973782456
137	0.3971211833
138	0.396904903
139	0.3967494699
140	0.3963571651
141	0.3961736977
142	0.3960472512
143	0.3959998708
144	0.3958315728
145	0.3958305666
146	0.3958151988
147	0.3955199151
148	0.395365832
149	0.3952438357
150	0.3950830844
151	0.3949835879
152	0.3948811456
153	0.3946609648
154	0.3945439854
155	0.3943959978
156	0.3943176317
157	0.3941033422
158	0.3939923342
159	0.3939752513
160	0.3937746089
161	0.393529891
162	0.3933505126
163	0.3932902367
164	0.3932593857
165	0.3932040121
166	0.3929924699
167	0.3927280093
168	0.3927044878
169	0.3925483403
170	0.3925109552
171	0.3924940161
172	0.3923093224
173	0.392091148
174	0.3920708365
175	0.3919440873
176	0.3918702063
177	0.3918480445
178	0.3917748232
179	0.3916877153
180	0.3914719173
181	0.3913165118
182	0.3912784363
183	0.391110733
184	0.3909067558
185	0.3907756519
186	0.3906806657
187	0.3906165495
188	0.3905056137
189	0.3903896097
190	0.3902377328
191	0.3901091665
192	0.390057025
193	0.3899297075
194	0.3898708277
195	0.389761685
196	0.3896398584
197	0.3894236814
198	0.3892527514
199	0.3891177936
200	0.3889756927
201	0.3889131818
202	0.3889105879
203	0.3888827866
204	0.3887632818
205	0.3886170798
206	0.3885088115
207	0.3884948907
208	0.388325544
209	0.3881582121
